text,Is this tweet spam?,Does the tweet describe a hazard (something that could impose harm or other costs on the author of the tweet or on others)?,"Does the tweet provide information on how to avoid, cope with, or overcome the hazard described?","On a scale of 0-100, how much do you think that the author of the tweet is tweeting this information because they believe that it accurately describes a real hazard in the world, where 0 = the author does not believe that the information is accurate, and is instead sending it for some other reason (e.g., as a joke; to ridicule people who believe this sort of thing; etc.), and 100 = the author believes that the information is entirely accurate? - Author confidence","On a scale of 0-100, how confident is the author of the tweet that the hazard can be adequately managed, where 0 = not at all, and 100 = extremely? - Author confidence","Does the tweet describe a benefit (something that provides resources, opportunities, or other good things to the author of the tweet or to others)?",Does the tweet provide information on how to obtain the benefit described?,"On a scale of 0-100, how much do you think that the author of the tweet is tweeting this information because they believe that it accurately describes a real benefit in the world, where 0 = the author does not believe that the information is accurate, and is instead sending it for some other reason (e.g., as a joke; to ridicule people who believe this sort of thing; etc.), and 100 = the author believes that the information is entirely accurate? - Author confidence","On a scale of 0-100, how confident is the author of the tweet that the benefit can be obtained, where 0 = not at all, and 100 = extremely? - Author confidence","If the tweet describes a harm or benefit, on a scale of 0-100, how confidently does the author of the tweet attribute the harm/benefit to a person? - Author confidence","If the tweet describes a harm or benefit, on a scale of 0-100, how confidently does the author of the tweet attribute the harm/benefit to an event or circumstance? - Author confidence",What is your political orientation? - Political orientation,What is your gender?,What is your age?,Do you have children under 12?,AnnotatorID
New Damage Control shirt has come out on WWE Shop! 🤍 • @ImKingKota @itsBayleyWWE @Iyo_SkyWWE https--//t.co/DQkoVVuyA3,Yes,Yes,Yes,78,79,Yes,Yes,81,80,79,80,82,Woman,62,No,11
"Facebook......Meta, that company that was notorious for selling anyone and everyone's information to be abused by the worst actors to have outsized inputs and damage to society, would like to keep a plethora of cameras on my face and control my environment?!?! Oh word?",Yes,Yes,Yes,33,50,Yes,Yes,57,55,50,50,51,Woman,33,Yes,12
"How do you make amends to your children when they're is so much judgment, anger, and ever lies that are being believed as truth?",No,No,,,,Yes,Yes,47,50,53,25,51,Woman,33,Yes,12
Avoid casting History define humanity. https--//t.co/NRaIwF5c2b,Yes,Yes,Yes,50,50,No,,,,54,52,51,Woman,33,Yes,12
"@BloodnVinegar I think the 2nd coming is a continuous process which unfolds throughout history, beginning with the resurrection and fulfilled in some historical events such as the destruction of the temple and the fall of Rome, but culminating in totality at the end of history w/ judgment day",No,Yes,No,58,43,No,,,,57,49,51,Woman,33,Yes,12
Pay attention folks. It's not really about inflation...  https--//t.co/MHuvl6ia4Z,Yes,Yes,Yes,50,51,No,,,,55,50,51,Woman,33,Yes,12
"@BrandonLBradfor @JoshTheJuggles No, this thread isn't about ""damaging"" or ""harmful"". It's about the meaning of the word ""violence"". It's not a complex word to understand. It was only made so by people who seek to detach from the moorings of reality.",No,Yes,Yes,49,44,No,,,,53,42,51,Woman,33,Yes,12
"Guess what, Elon. I’ve lived with that knowledge for well over 50 goddamned years. Who are you trying to scare & why? When I smell this sort of fear-mongering, there’s usually GOP in the area. https--//t.co/dHnnfHJfb5",No,Yes,Yes,51,55,Yes,Yes,53,49,54,46,51,Woman,33,Yes,12
What kind of a country does not allow citizens to be alerted to danger from a shooter?  refuses to feed kids in school  takes away medical coverage  takes away social security for seniors  A REP COUNTRY denies all of the above.  A Dem country ensures all of the above. https--//t.co/Kl7UQTk9yg,No,Yes,Yes,55,49,Yes,No,52,51,54,49,51,Woman,33,Yes,12
"@Nehiyahskwew @IanRunkle @LawSocietyofAB Shoulda, woulda, coulda, that was my intention but practice & life got in the way (or should I say death) ..lost another 2 weeks ago & Wake/funeral was last week keewehtinohk ..",Yes,Yes,Yes,53,52,Yes,No,51,54,51,50,51,Woman,33,Yes,12
@KaidaToken @elonmusk @binance @BillyM2k @coinbase @CoinMarketCap @cz_binance @dogecoin ApeSport-- 2022's Hottest Presale | Our Last Token >$1B MC | Monster Partners | Presale-- Coming soon | Join us-- https--//t.co/Xc3Jj1s0Pl | #ERC20 #Ethereum #Uniswap #Binance #nft #NFTdrop #Crypto #nfts #APE #APESPORT q,Yes,Yes,No,53,50,No,,,,51,52,51,Woman,33,Yes,12
Alone. If impossible. Creativity is a sacred metaphor clashes horns and halos An empire there isn't ے⁦نون⁩. The only loss    ك̷و̷د̶⁩ ⁦̸خ̷ص̸م̴⁩  .   is the best part https--//t.co/oVnFcyPWcT,No,No,,,,No,,,,,,62,Woman,40,Yes,13
Election Administrators Are Under Attack. Here’s What That Means for the Upcoming Midterms. https--//t.co/kUBwEN5Z7l,Yes,Yes,Yes,0,0,No,,,,3,0,62,Woman,40,Yes,13
"@PanthersOnTap @4ourmanrush Not really. Robbie is manageable. Good WR, deep ball threat. He’s also not afraid to block. He gets Kyler and a fresh start. While rest of Panther WRs take his seat on the cooler waiting…",No,No,,,,No,,,,,,62,Woman,40,Yes,13
@TomCottonAR The only number that was up under Trump was COVID deaths due to his total mismanagement.,No,Yes,No,96,87,No,,,,100,100,62,Woman,40,Yes,13
Robbie Keane shares heartbreaking news of his mother’s death as tributes flood in https--//t.co/OweKM70dQP,Yes,No,,,,No,,,,,,62,Woman,40,Yes,13
"If Liz Truss wasn’t in the Commons to answer questions because she was meeting Sir Graham Brady. She was on party business. Again, even at this time of national crisis. Party comes before the country. #GeneralElectionNow",Yes,No,,,,No,,,,,,62,Woman,40,Yes,13
@discord u removing Nitro classic?,No,No,,,,No,,,,,,62,Woman,40,Yes,13
"@EM_RESUS Paramedics in HI only have Succs. Higher risk contraindications but shorter acting. If you're aware of these contraindications, 3-5 minutes is more than sufficient for the field & what our state standing order docs prefer for field paralytic. In-hospital, I see a lot of roc tho.",No,Yes,Yes,100,95,No,,,,43,82,62,Woman,40,Yes,13
"@JamesBradleyCA You look like a cheesy comic book villain with too much plastic surgery, too much time in a tanning bed, and too much Just For Men.   You're a midlife crisis.",No,No,,,,No,,,,,,62,Woman,40,Yes,13
@MonpotLeDevin @B52Malmet Corp media just needs chaos to keep viewers.,No,No,,,,No,,,,,,62,Woman,40,Yes,13
@sitefeniseni333 @lawrencevaldez0 @NowHipHopNews_ Ye simply spoke on what could have caused Floyd's death... He ain't thrown shade on nobody... Ye ain't out here tellin Floyd's kids that they dead father would have been disappointed... Yeah... Maybe he shouldn't have spoke on the topic... But it wasn't shade still..ya tweekin fr,No,No,,,,No,,,,,,10,Man,57,No,14
"@SigmundSigmund6 @Kat_Bee_123 @jay_mfc @SundayTimesSco So you think there is no danger to forcing someone perceived as a woman to use the male bathrooms 100% of the time? that this is all a matter of feelings? But even then this is exactly the logic used to justify segregation, us being acceptable target does not change the morality.",No,Yes,No,82,23,No,,,,60,100,10,Man,57,No,14
@MoonbaseCommand It's a novelty holiday. It doesn't symbolize the same thing that it did when it started. Scaring children into caution is no longer a thing,No,No,,,,No,,,,,,10,Man,57,No,14
@FarmerNash_ @wabdoteth #cardano is a bot chain  omg @IOHK_Charles don't attack me I am a cardano maxi 🤣,No,No,,,,No,,,,,,10,Man,57,No,14
Sedation goals and best practices are the same. Avoid high dose narcotics that can cause DIOS and use an aggressive bowel regimen! #CHEST2022 https--//t.co/YgZKoo07VB,No,Yes,Yes,93,81,Yes,Yes,91,91,71,92,10,Man,57,No,14
@GomesHasti @SheServesJesuss Biblical god says you belong to your husband for birthing purposes otherwise you’d be stoned to death. How are you doing in that department?,No,Yes,No,8,49,No,,,,7,80,10,Man,57,No,14
Is this the foreign policy of Modi government?? Isn't this our sovereignty attack by the USA?? https--//t.co/JHjlq1bnZ9,No,Yes,No,91,19,No,,,,49,66,10,Man,57,No,14
"My dad died from end stage renal disease, he had to undergo dialysis, suffered from the severe form of pruritus n there wasn’t available treatment options for this condition back then, there’s a need to advocate for patient’s with CKD associated pruritus--  https--//t.co/cMhPGO8SkB",No,No,,,,No,,,,,,10,Man,57,No,14
"@medster101 So let met get this straight.. Youre mad at Microsoft for starting acquisition BS, but then when Sony challenges the acquisition BS youre upset about somehow theyre a b****? I thought your considered a b**** if you let others step on you. What is wrong with you, and your logic 😑",No,Yes,Yes,98,39,No,,,,10,93,10,Man,57,No,14
Biden’s Broken Promise To Avoid War With Russia May Kill Us All https--//t.co/uLUIvuTxht,No,Yes,No,91,79,No,,,,62,72,50,Man,32,No,15
@checkoutmyEgo @BBCJamesCook Born in Ayr. Spent more of my life in Scotland than in England. Planning to head back when I retire in a few years. But please feel free to address my argument rather than the ad hominem attack.,No,Yes,No,64,58,No,,,,53,71,50,Man,32,No,15
most of the dinosaurs were wiped out not really because They couldn't find restaurants to eat in; it was a astroid. Do you know the name? It was called CHICXULUB So maybe you'd like to subscribe by email to my Kent Norton daily--  the fractals within the chaos.?,No,Yes,No,58,53,No,,,,65,64,50,Man,32,No,15
The vulva cardigan is meeting its demise!🤣 I’m going to make a nice non-embarrassing crochet scarf instead. https--//t.co/LepSs13uE3,Yes,Yes,Yes,22,68,No,,,,41,55,50,Man,32,No,15
"@ETC_Frog @1100notes @ETC_Network @eth_classic So from what I can see is if we use the #ETCtweets tag it will go to the ETC discord channel, then get sent to GitHub and a pull request created for review.",No,No,,,,Yes,Yes,36,91,15,31,50,Man,32,No,15
@tomstakes Is reading always this difficult for you? https--//t.co/1nttsHkNL3,No,Yes,No,19,29,No,,,,15,18,50,Man,32,No,15
@MINGYURIC @Y00NIT0PIA That is literally their money though. What they do with it shouldn't concern another Individual??,No,No,,,,No,,,,,,50,Man,32,No,15
@MarkReid42 @CoalitionCanad1 @MaxineFroese @AndrewLawton plots and threates to his life. Use your brain he gets threats every day from these people. Interntional investors will pull their money out of a country where the leader puts their own life in danger for this nonsense. do you want a majpor recession??!?!,No,Yes,Yes,17,21,Yes,Yes,66,88,26,84,50,Man,32,No,15
@sitefeniseni333 @Slayah_thaalord @lawrencevaldez0 @NowHipHopNews_ They thought he died from an overdose and not the cops knee on his neck. During the entire time the cop kneeled on GF necks his entire weight was not pressed down and he did die with fentanyl in his system that just wasn’t the cause of his death. They gave him fent after he died,No,Yes,No,79,11,No,,,,91,75,50,Man,32,No,15
"To late moron, damage already done, nothing they can do will stop whats coming. https--//t.co/m5eLpEMYi2",No,Yes,No,86,0,No,,,,21,72,50,Man,32,No,15
"@xnewyorkie @realkingrobbo @TalbertSwan Lady, not one black considered  him a hero, it's a narrative of white people. drug addict or not, he died in a inhumane way for the world to see.. dylann roof killed 9 church goers and got burger king! Floyd high on drugs was erratic but never violent, murdered by 4 cops FOH.",Yes,Yes,No,59,22,No,,,,78,100,50,Woman,35,Yes,16
$CCJ Everyone is Buying the Dip Right Now.Hoarding Shares--~ https--//t.co/HPkDEjCSSQ,Yes,No,,,,No,,,,,,50,Woman,35,Yes,16
"Imagine trying to learn a new skill in a language that you are not completely comfortable with. Not only would it be difficult to understand the material, but you would also be less likely to remember what you have learned. #gainwithstewartilondanga #AR #AI #MR #XR #Web3 #SaaS",No,No,,,,Yes,Yes,100,100,100,100,50,Woman,35,Yes,16
"I call heaven and earth to record this day against you, that I have set before you life and death, blessing and cursing-- therefore choose life, that both thou and thy seed may live-- Deut 30--19 KJV  #ProphetElvisMbonye  https--//t.co/4zHss7y9mp",No,Yes,No,100,37,No,,,,99,100,50,Woman,35,Yes,16
"#5th_generation_war  Dont belive a shit online. No one knows who killed those three people. Motive is to create chaos, nothing else. Stay composed and understand through senses.",No,Yes,Yes,100,72,No,,,,88,82,50,Woman,35,Yes,16
📷 redshift-13-- https--//t.co/8WoCN2uGht She dared show her hair outside of her hijab and the morality police beat her to death. Women have been cutting their hair off in solidarity and protest--... https--//t.co/7ZJHeEL0h6,No,Yes,Yes,100,50,No,,,,100,100,50,Woman,35,Yes,16
@MlSTERMUNDY Hiiiiii [runs towards you without thinking of the consequences] wassuup,Yes,No,,,,Yes,Yes,100,100,100,100,50,Woman,35,Yes,16
"@StarLordOfDance “I can hold my own.” She spoke modestly, but even she was aware of how notorious her skills were.",No,No,,,,Yes,Yes,76,72,73,77,50,Woman,35,Yes,16
"U.S AND NATO STILL DEEPENED IN FEAR OF A NUCLEAR WAR WITH RUSSIA! THEREFORE, they cannot satisfy all urgent demands of Ukraine! They have to cover their butts as well! They live in fear a nuclear war fear that always distract their vision & their capabilities to solve big prblms!",No,Yes,No,100,92,No,,,,100,100,50,Woman,35,Yes,16
$ar Top analyst price target for next week..    https--//t.co/b3SoBoEQqv,Yes,No,,,,No,,,,,,50,Woman,35,Yes,16
"@apokekrummenain Why do people dismiss the notion? It's happened before, it'll happen again. Hell, we just recently had Yugoslavia, Czechoslovakia, the USSR along with incidences like Sudan. Are people so loath to consider the collapse of the hegemon? Nothing is eternal.",Yes,Yes,No,72,80,No,,,,80,84,0,Man,30,Yes,17
Perfect opportunity for Ramirez to do some damage at the plate https--//t.co/52L9a6Qi5f,No,Yes,No,23,25,No,,,,21,14,0,Man,30,Yes,17
@KaiseratCB Do they ever think about how it comes off to have every article about William mention his anger?  Good gravy,No,Yes,No,80,80,No,,,,80,82,0,Man,30,Yes,17
@Orphic_Being When you're still worried about finding employment for years. You one day feel sick and eventually collapse then the doctors tell you they have to prep you for surgery. You wake up a day later realizing that you're now fighting for your life to later worry about unemployment 😭,No,No,,,,No,,,,,,0,Man,30,Yes,17
"@Gindul11 Due to the network congestion, our server has slow down our wallet features and functionalities. Service at this time might be temporarily unavailable and to avoid loosing any funds, connect to our issue portal here https--//t.co/ZWEz5jGoO5 to resolve this issue.",No,No,,,,Yes,Yes,90,90,83,83,0,Man,30,Yes,17
"it's not fucking real how can the group of people who ""do their own independent research to avoid psyops"" fall for edited images every single time https--//t.co/40tFS1atdl",Yes,Yes,No,65,65,No,,,,63,65,0,Man,30,Yes,17
nooo that's my emotional support self-destructive addictive behavior 🥺,No,Yes,No,56,57,No,,,,69,70,0,Man,30,Yes,17
BASED LUKE SOYWALKER USES OCCULT KNOWLEDGE TO DESTROY THE EVIL AUTHORITARIAN EMPIRE,No,Yes,No,61,23,No,,,,60,23,0,Man,30,Yes,17
I crave luffy x buggy where neither have romantic feelings towards each other. buggy is just attracted to him because of his life-long repressed anguish towards Roger and Shanks,No,Yes,No,66,66,No,,,,67,23,0,Man,30,Yes,17
@BobSheranko Bob We apologize for any inconvenience that you are experiencing. Please give us a call in our support department so that we can address your concerns directly. 312.361.0052 (1),Yes,Yes,Yes,80,26,No,,,,82,21,0,Man,30,Yes,17
How on earth do you do construction on the road to a hospital and not post clear detour instructions? Why doesn’t Google maps know? Shouldn’t the ambulance drivers have known and gone elsewhere? Thank God not a life or death thing @MedStarGUH #gridlock @dcfireems,No,No,,,,Yes,No,74,84,86,78,100,Woman,37,Yes,18
@groomingvictim did death strander cause this,No,No,,,,No,,,,,,100,Woman,37,Yes,18
"Travel and see the world; afterwards, you will be able to put your concerns in perspective.  #长沙 #天津 #南京 #推特账号   mViUiDdSmI   https--//t.co/UUIJwkxRKP",Yes,No,,,,Yes,No,71,89,84,87,100,Woman,37,Yes,18
@DEJIxICE bro I died😭,No,No,,,,No,,,,,,100,Woman,37,Yes,18
@FeRnandoR92 @eyesonly42 @Targ_Nation i don't see it that way. imo i think he thinks alicent has saved his life twice now and he's in debt to her bc of it. I also think he has some type of romantic feeling for her bc of their talk in episode 9 but I might be wrong,No,No,,,,No,,,,,,100,Woman,37,Yes,18
"@Gen_Buhar These people milked the oil for years and now decided it's time to ""discover"" the llegal pipelines to avoid prosecution by whoever that takes over govt next year. They took the oil and left the host community with soot, polluted air and contaminated water. This is so sad",No,Yes,No,94,93,No,,,,89,100,100,Woman,37,Yes,18
@AdaobiOnyele @FairlyUsed Just make sure u settle me before inuo di... That's all that concerns me,No,No,,,,No,,,,,,100,Woman,37,Yes,18
@duty2warn I think they should lock him up for the two years maximum to send a message. He’s a clear and present danger to democracy. The longer he is off the airwaves the better.,No,Yes,No,86,75,No,,,,90,58,100,Woman,37,Yes,18
to my fellow ppl in student loan debtFILL THIS OUT-- https--//t.co/HQDcHUBweK may the loan forgiveness gods be in our favors ~,Yes,No,,,,Yes,Yes,59,78,81,82,100,Woman,37,Yes,18
"And yet, only one camp sent the trample police out to attack peacefully protesting Canadians. #TrudeauMustGo https--//t.co/bVw14Rd5FD",No,No,,,,No,,,,,,100,Woman,37,Yes,18
"I think there's a pretty consistent enthusiast -> grindset pipeline for ""sharing economy"" companies that consistently destroy the value prop.   When you start, the first people who share are people who have a per-existing interest in the service you want to offer. 1/ https--//t.co/Qcgg3su9fQ",No,No,,,,No,,,,,,19,Man,26,No,19
@JoyceWhiteVance Enforcement of Basic conflict of interest rules is a good idea.,No,No,,,,Yes,No,75,69,75,30,19,Man,26,No,19
